YEAR,WAVE,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,MODE,AREA,STATUS,DOWNLOAD
1990,2,6,37,8835020301,3,1,33058.81111,1114055969,0,0,33058.81111,1114055969,0,0,33058.81111,1114055969,29747.53264,902057968.9,13493.39229,185598662.1,0,0,SHORE,OCEAN (<= 3 MI),FINAL,18APR2021:16:52:08
1990,2,6,37,8835020301,5,2,5182.455345,24534897.22,0,0,5182.455345,24534897.22,0,0,5182.455345,24534897.22,8897.372076,72176083.28,4035.821499,14850247.94,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:52:08
1990,2,6,37,8835020301,7,1,10820.85306,125822363.4,456.0172642,224286.3331,11276.87032,126293366,12776.43056,156401035.1,24053.30088,563722277.7,6445.566269,39542531.09,2923.68968,8135886.074,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:52:08
1990,2,6,37,8835020301,7,2,15437.81177,240330999.2,11511.80456,115108611.5,26949.61633,526699493.2,0,0,26949.61633,526699493.2,16080.42121,185505265.3,7294.031211,38167756.68,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:52:08
1990,2,6,37,8835020301,7,5,0,0,0,0,0,0,5959.111005,33513273.61,5959.111005,33513273.61,0,0,0,0,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,18APR2021:16:52:08
1990,3,6,37,8835020301,3,1,0,0,0,0,0,0,28657.32177,660582996.7,28657.32177,660582996.7,0,0,0,0,0,0,SHORE,OCEAN (<= 3 MI),FINAL,18APR2021:16:52:08
1990,3,6,37,8835020301,5,2,34634.80599,437443369.8,1961.973121,3762149.15,36596.77911,489679293.9,1044.806539,890475.1526,37641.58565,503336805.8,52049.62456,956887951.9,23609.55482,196879945.4,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:52:08
1990,3,6,37,8835020301,7,1,1407.75334,925342.0597,4795.041739,22128705.25,6202.795079,23478504.15,4900.637034,17961128.82,11103.43211,81460401.61,5298.475724,19109554.1,2403.372822,3931795.734,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:52:08
1990,3,6,37,8835020301,7,2,30420.76074,326314858.8,9869.081641,41756741.18,40289.84238,372473586.1,6162.747623,17341074.98,46452.59,382751019.4,33737.46781,447899472.9,15303.21501,92155433.25,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:52:08
1990,3,6,37,8835020301,7,5,2065.595895,1425673.253,1794.659749,1627317.159,3860.255644,2927334.296,9955.467353,17929618.85,13815.723,31877213.5,1609.874382,673315.7796,730.2342294,138534.8971,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,18APR2021:16:52:08
